自动钓鱼 (跳过钓鱼小游戏，直接完美钓鱼！甚至鱼王都)
实时显示NPC位置的大地图 (使用之后就可以在游戏中实时显示NPC位置)
骷髅洞穴新增电梯 (在骷髅洞穴中添加了一个像普通矿井那样的电)
星露谷动漫头像 (对星露谷原版所有角色的头像都进行了重新绘)
拖拉机模组 (该模组让你可以购买拖拉机（和拖拉机车库）)
更清晰化的信息UI (使用之后就能让玩家更清晰的看清楚游戏的信)
星露谷拓展/sve (万众瞩目的星露谷拓展mod，它终于来了，)
自动浇水和施肥 (小精灵会在每天晚上偷偷来帮你浇水，不用再)
矿洞梯子定位 (这个mod会标记出矿洞每一层梯子的位置，)
即时工具升级 (这个模组让克林特立即把升级后的工具给你。)
地图传送 (允许您快速前往地图上任何标记的位置。这只)
一夫多妻制 (允许多个配偶或室友，允许在婚礼上有多位配)
增加戒指槽位数量 (配置你库存中的戒指槽位数量。默认情况下增)
原料加工自动化 (生产机器会自动取出相邻箱子内的原料进行加)
CJB作弊菜单 (一个简单的游戏内作弊菜单，包含大量作弊选)
礼物小帮手 (当你把鼠标放在日历上的角色时会显示出他最)
里奇赛德村 (欢迎来到里奇赛德村，这是一座位于山顶的城)
更快的移速和工具蓄力 (提高了人物在步行、冲刺、骑马状态下的移动)
物品生成器，一键生成想要的物品，超级方便！ (默认按键盘上的 i（可配置）打开菜单以生)
可穿行农作物 (这个模组让所有的作物都允许农民穿过，就像)
自助商店汉化版 (还在为玛妮和克林特放假而感到头疼吗，这个)
可见鱼 (这个可见鱼模组显示了目前在水中可以捕获的)
记住我结婚了 (这个模组在你结婚后为村民添加了对话台词，)
ui2套件 (显示运气图标、显示经验值、好感系统显示优)
传送NPC位置 (使用模组之后就可以传送到指定的NPC位置)
东斯卡普 (欢迎来到东斯卡普！在原版地图的东部添加了)
祖祖城 (使用之后就能在游戏中添加一个祖祖城地图模)
自动化钓鱼 (使用之后就能自动进行钓鱼游戏和上钩操作，)
无限能量 (安装该模组之后将拥有无限的耐力，可以专注)
佳能对话扩展 (增加了大约4200条新的对话，涉及所有3)
整齐的制作栏 (原版的制作菜单实在是太乱了，这个模组对它)
单身村民季节性穿搭肖像 (为单身村民重绘了季节性的头像，包括四季、)
自动砸破晶球 (长按鼠标即可连续打开晶球，不用一个个开。)
更大的背包 (觉得三级背包还不够装？这个模组添加了一个)
一键抚摸农场所有动物 (这个模组允许通过按一个可配置的按钮（默认)
全信息查看 (必须安装的前置依赖：SMAPI（前置依赖)
无限金钱 (每按一次键盘上的Home键就加一千块注意)
无限次捕捞传说鱼 (不小心把传说鱼做成生鱼片了？这个模组能让)
取消等级上限 (取消等级上限，让你的等级增加到100级！)
日历上显示NPC喜欢的礼物 (显示一个有用的工具提示，显示 NPC 在)
显示物品售价 (把鼠标放到物品上时会显示物品出售的单价和)
皮埃尔出售洒水器 (你现在可以在皮埃尔商店买到洒水器了，兼容)
农民无限收获作物 (解锁终极农夫体验！使用之后就能让玩家更加)
罗宾出售酒桶 (使用之后就能让玩家第二年可以用200金币)
山谷女孩 (使用之后就能为女性NPC增加一系列的有趣)
智能工具 (安装该模组之后，使用工具时，模组会检查该)
动漫头像立绘 (对npc的头像立绘进行了卡通化重制，将头)
提高爆率增加掉落物 (使用之后即可获取更多的怪物掉落。配置控制)
所有职业获取 (升级时获得所有可能的职业，而不仅仅是你选)
派大星马匹外观 (使用之后就能将马匹的外观替换成派大星，这)
幽咪的复古色礼服 (在游戏中添加了一些非常漂亮的女性复古色礼)
自由恋爱 (移除了只能娶一个配偶的限制，现在甚至可以)
罗宾出售硬木 (罗宾现在在她的店里卖硬木。适用于1.6游)
直接生成建筑 (从农场即时获取建筑让你直接从农场访问建筑)
社区中心帮手 (把鼠标放在收集包所需物品上，即可告诉你该)
热辣女巫 (老巫师不再，新女巫到来!建议订阅星露谷拓)
独特的孩子外观 (使用之后就可以基于你的基础游戏中的配偶来)
多重附魔效果 (允许对工具施加多个附魔效果，并且锻造武器)
一键获得金币 (这个模组将允许您在按下键盘上的 G 键时)
可结婚的法师 (法师变得可以结婚，适用于基础版本1.6.)
分享经验 (将达到 10 级的技能与尚未达到 10 )
镰刀收获 (必须安装的前置依赖：SMAPI（前置依赖)
每天自动浇水 (每天自动给庄稼浇水，这样您就可以将精力和)
npc实时位置 (安装该模组之后可以在地图上看到NPC和玩)
MOD 菜单 (在标题画面新增 MOD 菜单，可以查看当)
彩虹小马 (将原来小马的外观替换成一只彩虹马的外观。)
生命值显示 (在怪物的头上添加了一个血条注意事项:注意)
